Circuit,Magnet,Position,B1_aperture,Diode_type,Correctors,EE place,#Electric_EE,#Electric_circuit,Cryostat,Cryostat2,QPS Crate&Board,Bus Bar Segment Name,1st Magnet,2nd Magnet,Num of splices,Dcum1,Dcum2,QPS Crate,QPS Board,#Segment,phys_pos,Name,R_1,R_2,RRR_1,RRR_2
RB.A12,MB.A8R1,276.734,EXT,R,A,EVEN,1,78,LBARE.8R1,LBARE_08R1,B8R1_0,DCBQ.7R1.L,DFLAS.7R1.2,MB.A8R1,4,254.494,268.904,B8R1,0,79,1,A8R1,1.8,1.85,95.65008800371686,94.10394295985525
RB.A12,MB.B8R1,292.394,EXT,R,B,ODD,77,77,LBBRF.8R1,LBBRF_08R1,B9R1_0,DCBB.8R1.R,MB.B9R1,MB.B8R1,3,323.629,284.564,B9R1,0,77,2,B8R1,1.67,1.85,100.31451566000446,94.10394295985525
RB.A12,MB.A9R1,315.799,EXT,R,A,EVEN,2,79,LBARE.9R1,LBARE_09R1,B8R1_1,DCBQ.8R1.L,MB.A8R1,MB.A9R1,3,268.904,307.969,B8R1,1,80,3,A9R1,1.75,1.85,97.93687798968394,94.10394295985525
RB.A12,MB.B9R1,331.459,EXT,R,B,ODD,76,76,LBBRG.9R1,LBBRG_09R1,B11R1_2,DCBB.9R1.R,MB.B10R1,MB.B9R1,3,364.094,323.629,B11R1,2,76,4,B9R1,1.67,1.7699999999999998,100.31451566000446,97.37175994946976
RB.A12,MB.A10R1,356.264,EXT,R,A,EVEN,3,80,LBARE.10R1,LBARE_10R1,B10R1_0,DCBQ.9R1.L,MB.A9R1,MB.A10R1,3,307.969,348.434,B10R1,0,81,5,A10R1,1.67,1.67,100.31451566000446,100.31451566000446
RB.A12,MB.B10R1,371.924,EXT,R,B,ODD,75,75,LBBRF.10R1,LBBRF_10R1,B11R1_1,DCBB.10R1.R,MB.B11R1,MB.B10R1,3,403.159,364.094,B11R1,1,75,6,B10R1,2.3500000000000063,2.400000000000002,81.26569022666702,80.42197475066784
RB.A12,MB.A11R1,395.329,EXT,R,A,EVEN,4,81,LBARA.11R1,LBARA_11R1,B10R1_1,DCBQ.10R1.L,MB.A10R1,MB.A11R1,3,348.434,387.499,B10R1,1,82,7,A11R1,1.67,1.85,100.31451566000446,94.10394295985525
RB.A12,MB.B11R1,410.989,EXT,R,B,ODD,74,74,LBBRA.11R1,LBBRA_11R1,B11R1_0,DCBB.11R1.R,MB.B12R1,MB.B11R1,4,455.9407,403.159,B11R1,0,74,8,B11R1,1.82,3.2400000000000007,94.98000661467276,67.59410659048159
RB.A12,MB.A12R1,448.1107,EXT,R,A,EVEN,5,82,LBARA.12R1,LBARA_12R1,B10R1_2,DCBQ.11R1.L,MB.A11R1,MB.A12R1,4,387.499,440.2807,B10R1,2,83,9,A12R1,1.67,2.450000000000002,100.31451566000446,79.59764615112702
RB.A12,MB.B12R1,463.7707,EXT,R,B,ODD,73,73,LBBRA.12R1,LBBRA_12R1,B13R1_2,DCBB.12R1.R,MB.A13R1,MB.B12R1,3,493.7307,455.9407,B13R1,2,73,10,B12R1,3.2799999999999474,3.2799999999999474,68.32892020652831,68.32892020652831
RB.A12,MB.C12R1,479.4307,EXT,R,A,EVEN,6,83,LBARB.12R1,LBARB_12R1,B12R1_0,DCBB.12R1.L,MB.A12R1,MB.C12R1,2,440.2807,471.6007,B12R1,0,84,11,C12R1,2.43,2.450000000000002,79.9134887858741,79.59764615112702
RB.A12,MB.A13R1,501.5607,EXT,R,B,ODD,72,72,LBBRA.13R1,LBBRA_13R1,B13R1_1,DCBB.A13R1.R,MB.C13R1,MB.A13R1,2,525.0507,493.7307,B13R1,1,72,12,A13R1,1.67,3.28,100.31451566000446,67.87449965452625
RB.A12,MB.B13R1,517.2207,EXT,R,A,EVEN,7,84,LBARA.13R1,LBARA_13R1,B12R1_1,DCBB.A13R1.L,MB.C12R1,MB.B13R1,3,471.6007,509.3907,B12R1,1,85,13,B13R1,1.67,1.67,100.31451566000446,100.31451566000446
RB.A12,MB.C13R1,532.8807,EXT,R,B,ODD,71,71,LBBRD.13R1,LBBRD_13R1,B13R1_0,DCBB.B13R1.R,MB.B14R1,MB.C13R1,3,562.8407,525.0507,B13R1,0,71,14,C13R1,2.43,2.45000000000002,79.9134887858741,79.61488134911514
RB.A12,MB.A14R1,555.0107,EXT,R,A,EVEN,8,85,LBARA.14R1,LBARA_14R1,B12R1_2,DCBQ.13R1.L,MB.B13R1,MB.A14R1,3,509.3907,547.1807,B12R1,2,86,15,A14R1,3.400000000000001,2.9899999999999998,65.45791952580721,72.05491275077262
RB.A12,MB.B14R1,570.6707,EXT,R,B,ODD,70,70,LBBRA.14R1,LBBRA_14R1,B15R1_2,DCBB.14R1.R,MB.A15R1,MB.B14R1,3,600.6307,562.8407,B15R1,2,70,16,B14R1,3.16,1.75,70.07018630242422,96.83501939690876
RB.A12,MB.C14R1,586.3307,EXT,R,A,EVEN,9,86,LBARB.14R1,LBARB_14R1,B14R1_0,DCBB.14R1.L,MB.A14R1,MB.C14R1,2,547.1807,578.5007,B14R1,0,87,17,C14R1,2.43,2.43,79.9134887858741,79.9134887858741
RB.A12,MB.A15R1,608.4607,EXT,R,B,ODD,69,69,LBBRA.15R1,LBBRA_15R1,B15R1_1,DCBB.A15R1.R,MB.C15R1,MB.A15R1,2,631.9507,600.6307,B15R1,1,69,18,A15R1,3.320000000000004,3.02,66.96853432549321,71.69505965461342
RB.A12,MB.B15R1,624.1207,EXT,R,A,EVEN,10,87,LBARA.15R1,LBARA_15R1,B14R1_1,DCBB.A15R1.L,MB.C14R1,MB.B15R1,3,578.5007,616.2907,B14R1,1,88,19,B15R1,1.77,2.9899999999999998,96.7853954664714,72.05491275077262
RB.A12,MB.C15R1,639.7807,EXT,R,B,ODD,68,68,LBBRD.15R1,LBBRD_15R1,B15R1_0,DCBB.B15R1.R,MB.B16R1,MB.C15R1,3,669.7407,631.9507,B15R1,0,68,20,C15R1,2.5000000000000004,2.450000000000002,78.7897683364081,79.59764615112702
RB.A12,MB.A16R1,661.9107,EXT,R,A,EVEN,11,88,LBARA.16R1,LBARA_16R1,B14R1_2,DCBQ.15R1.L,MB.B15R1,MB.A16R1,3,616.2907,654.0807,B14R1,2,89,21,A16R1,1.81,1.68,95.8748204483924,99.6525631876629
RB.A12,MB.B16R1,677.5707,EXT,R,B,ODD,67,67,LBBRA.16R1,LBBRA_16R1,B17R1_2,DCBB.16R1.R,MB.A17R1,MB.B16R1,3,707.5307,669.7407,B17R1,2,67,22,B16R1,3.18,1.75,69.35436078096502,96.83501939690876
RB.A12,MB.C16R1,693.2307,EXT,R,A,EVEN,12,89,LBARB.16R1,LBARB_16R1,B16R1_0,DCBB.16R1.L,MB.A16R1,MB.C16R1,2,654.0807,685.4007,B16R1,0,90,23,C16R1,2.4800000000000004,2.45000000000002,79.10202191429511,79.61488134911514
RB.A12,MB.A17R1,715.3607,EXT,R,B,ODD,66,66,LBBRA.17R1,LBBRA_17R1,B17R1_1,DCBB.A17R1.R,MB.C17R1,MB.A17R1,2,738.8507,707.5307,B17R1,1,66,24,A17R1,2.43,2.450000000000002,79.9134887858741,79.59764615112702
RB.A12,MB.B17R1,731.0207,EXT,R,A,EVEN,13,90,LBARA.17R1,LBARA_17R1,B16R1_1,DCBB.A17R1.L,MB.C16R1,MB.B17R1,3,685.4007,723.1907,B16R1,1,91,25,B17R1,1.68,2.450000000000002,99.6525631876629,79.59764615112702
