,Unnamed: 0,Circuit Name,Circuit Family,Period,Date (FGC),Time (FGC),FPA Reason,Timestamp_PIC,Delta_t(FGC-PIC),Delta_t(EE_even-PIC),Delta_t(EE_odd-PIC),Ramp rate,Plateau duration,I_Q_circ,MIITS_circ,I_Earth_max,EE analysis,V feeler analysis,U_EE_max_ODD,U_EE_max_EVEN,Position,I_Q_M,Nr in Q event,Delta_t(iQPS-PIC),nQPS crate name,Delta_t(nQPS-PIC),Type of Quench,Quench origin,Quench count,QDS trigger origin,dU_iQPS/dt,V_symm_max,dV_symm/dt,R_DL_max,I at R_DL_max,QH analysis,Short magnet ID,Manufacturer,Inner cable type,Outer cable type,I_Q_SM18,dI_Q_Acc,dI_Q_LHC,Comment,Analysis performed by,lhcsmapi version,lhcsm notebook version,Unnamed: 46,Unnamed: 47,timestamp_fgc
0,2,RB.A12,RB,HWC 2008,2008-08-19 00:00:00,12:13:28,Heater-provoked,,,,,,,,,,,,,,A25L2,760.0,1,,,,Heater-provoked,,,iQPS,0.14,,,,,,1374.0,1.0,01E,02B5,11365,-,,,,,,,,
1,3,RB.A12,RB,HWC 2008,2008-08-19 00:00:00,18:53:12,Heater-provoked,,,,,,,,,,,,,,B10R1,2000.0,1,,,,Heater-provoked,,,iQPS,,,,,,,2388.0,2.0,01E,02C9,12136,-,,,,,,,,
2,4,RB.A12,RB,HWC 2008,2008-08-19 00:00:00,20:15:07,Heater-provoked,,,,,,,,,,,,,,A11L2,1570.0,1,,,,Heater-provoked,,,iQPS,,,,,,,2359.0,2.0,01E,02C9,12284,-,,"Quench det. on busbar, causing instabilities in U_QSO in 2 magnets",,,,,,
3,5,RB.A12,RB,HWC 2008,2008-08-19 00:00:00,20:15:07,Heater-provoked,,,,,,,,,,,,,,B17L2,1570.0,2,,,,Heater-provoked,,,iQPS,,,,,,,1363.0,1.0,01E,02B5,10124,-,,"Quench det. on busbar, causing instabilities in U_QSO in 2 magnets",,,,,,
4,6,RB.A12,RB,HWC 2008,2008-08-20 00:00:00,18:41:36,Heater-provoked,,,,,,,,,,,,,,A11L2,1690.0,1,,,,Heater-provoked,,,iQPS,,,,,,,2359.0,2.0,01E,02C9,12284,-,,"Trip of the PC, causing instabilities in U_QSO",,,,,,
5,7,RB.A12,RB,HWC 2008,2008-08-22 00:00:00,09:59:25,Heater-provoked,,,,,,,,,,,,,,B19R1,7000.0,1,,,,Heater-provoked,,,iQPS,0.15,,,,,,2410.0,2.0,01B,02D,12344,-,,,,,,,,
6,8,RB.A12,RB,HWC 2008,2008-08-22 00:00:00,09:59:25,Heater-provoked,,,,,,,,,,,,,,C19R1,4288.0,2,,,,GHe propagation,,,iQPS,0.19,,,,,,2378.0,2.0,01E,02C9,10628,-,,,,,,,,
7,9,RB.A12,RB,HWC 2008,2008-08-22 00:00:00,09:59:25,Heater-provoked,,,,,,,,,,,,,,A19R1,2488.0,3,,,,GHe propagation,,,iQPS,0.26,,,,,,1277.0,1.0,01E,02B8,12258,-,,,,,,,,
8,10,RB.A12,RB,HWC 2009,2009-12-05 00:00:00,19:30:26,Heater-provoked,,,,,,,,,,,,,,B24R1,760.0,1,,,,Heater-provoked,,,iQPS,,,,,,,2262.0,2.0,01E,02C9,11631,-,,,,,,,,1.26003782644e+18
9,11,RB.A12,RB,HWC 2010,2010-02-04 00:00:00,14:06:55,QPS trip,,,,,,,,,,,,,,A11L2,549.0,1,,,,EM disturbance,,,iQPS,,,,,,,2359.0,2.0,01E,02C9,12284,-,,"Q during ramp down from 2 kA when opening the switches, see also QPS logbook.",,,,,,1.265288815e+18
10,12,RB.A12,RB,HWC 2010,2010-02-13 00:00:00,13:44:52,QPS trip,,,,,,,,,,,,,,B15L2,5412.0,1,,,,EM disturbance,,,iQPS,25,,,,,,1281.0,1.0,01E,02B8,11369,-,,Dump RR17 noisy (40 V pp),,,,,,1.26606509292e+18
11,13,RB.A12,RB,HWC 2010,2010-02-13 00:00:00,13:44:52,QPS trip,,,,,,,,,,,,,,A18L2,5412.0,2,,,,EM disturbance,,,iQPS,20,,,,,,2396.0,2.0,01E,02C9,11723,-,,,,,,,,1.26606509292e+18
12,14,RB.A12,RB,HWC 2010,2010-02-13 00:00:00,13:44:52,QPS trip,,,,,,,,,,,,,,A20L2,5412.0,3,,,,EM disturbance,,,iQPS,14.29,,,,,,1362.0,1.0,01E,02B8,12057,-,,,,,,,,1.26606509292e+18
13,15,RB.A12,RB,HWC 2010,2010-02-13 00:00:00,13:44:52,QPS trip,,,,,,,,,,,,,,A22L2,5412.0,4,,,,EM disturbance,,,iQPS,20,,,,,,2304.0,2.0,01B,02D,10294,-,,,,,,,,1.26606509292e+18
14,16,RB.A12,RB,HWC 2010,2010-02-13 00:00:00,13:44:52,QPS trip,,,,,,,,,,,,,,B17L2,5412.0,5,,,,EM disturbance,,,iQPS,14.29,,,,,,1363.0,1.0,01E,02B5,10124,-,,,,,,,,1.26606509292e+18
15,17,RB.A12,RB,HWC 2010,2010-02-13 00:00:00,13:44:52,QPS trip,,,,,,,,,,,,,,B19L2,5412.0,6,,,,EM disturbance,,,iQPS,16.67,,,,,,2362.0,2.0,01E,02C9,11807,-,,,,,,,,1.26606509292e+18
16,18,RB.A12,RB,HWC 2010,2010-02-13 00:00:00,13:44:52,QPS trip,,,,,,,,,,,,,,A11L2,5412.0,7,,,,EM disturbance,,,iQPS,14.29,,,,,,2359.0,2.0,01E,02C9,12284,-,,,,,,,,1.26606509292e+18
17,19,RB.A12,RB,HWC 2010,2010-02-13 00:00:00,13:44:52,QPS trip,,,,,,,,,,,,,,B25L2,5412.0,8,,,,EM disturbance,,,iQPS,20,,,,,,2363.0,2.0,01E,02C9,12031,-,,,,,,,,1.26606509292e+18
18,20,RB.A12,RB,HWC 2010,2010-02-13 00:00:00,13:44:52,QPS trip,,,,,,,,,,,,,,C19R1,5412.0,9,,,,EM disturbance,,,iQPS,10,,,,,,2378.0,2.0,01E,02C9,10628,-,,,,,,,,1.26606509292e+18
19,21,RB.A12,RB,HWC 2010,2010-02-13 00:00:00,13:44:52,QPS trip,,,,,,,,,,,,,,C18L2,5412.0,10,,,,EM disturbance,,,iQPS,9.09,,,,,,2325.0,2.0,01E,02C9,11581,-,,,,,,,,1.26606509292e+18
20,22,RB.A12,RB,HWC Dec 2014,2014-12-11 00:00:00,21:45:14,Heater-provoked,,,,,,,,,,,,,,C17R1,2000.0,1,-8.0,,,Heater-provoked,,,iQPS,6.3,,,10,,,1351.0,1.0,01E,02B8,11573,-,,,,,,,,1.41833071458e+18
21,23,RB.A12,RB,HWC Dec 2014,2014-12-12 00:00:00,12:46:04,Heater-provoked,,,,,,,,,,,,,,C26L2,760.0,1,-8.0,,,Heater-provoked,,,iQPS,5.5,,,,,,1367.0,1.0,01E,02B5,11785,-,,,,,,,,1.4183847645e+18
22,24,RB.A12,RB,HWC Dec 2014,2014-12-13 00:00:00,16:31:10,Magnet quench,,,,,,,,,,,,,,A27R1,9380.0,1,-8.0,,,Training,EXT,1.0,iQPS,3.3,,,9,,,3380.0,3.0,01E,02D,11477,-2097,,,,,,,,1.41848467056e+18
23,25,RB.A12,RB,HWC Dec 2014,2014-12-13 00:00:00,16:31:10,Magnet quench,,,,,,,,,,,,,,B27R1,6122.0,2,43747.0,,,GHe propagation,,,iQPS,4.9,0.19,,11,,,2402.0,2.0,01E,02C9,12229,-,,,,,,,,1.41848467056e+18
24,26,RB.A12,RB,HWC Dec 2014,2014-12-13 00:00:00,16:31:10,Magnet quench,,,,,,,,,,,,,,C27R1,3860.0,3,88007.0,,,GHe propagation,,,iQPS,0.13,0.1,,3,,,2424.0,2.0,01B,02B5,11342,-,,,,,,,,1.41848467056e+18
25,27,RB.A12,RB,HWC Dec 2014,2014-12-13 00:00:00,16:31:10,Magnet quench,,,,,,,,,,,,,,C26R1,1927.0,4,152874.0,,,GHe propagation,,,iQPS,0.08,0.1,,7,,,1376.0,1.0,01E,02B5,11754,-,,,,,,,,1.41848467056e+18
26,28,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,07:33:34,Magnet quench,,,,,,,,,,,,,,C29R1,10157.0,1,-10.0,,,Training,INT,2.0,iQPS,4.366666666666666,,,24,,,2332.0,2.0,01E,02C9,11165,-1008,,,,,,,,1.41853881428e+18
27,29,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,07:33:34,Magnet quench,,,,,,,,,,,,,,B29R1,4996.0,2,70937.0,,,GHe propagation,,,iQPS,2.746666666666667,0.1,,15,,,2405.0,2.0,01E,02C9,12244,-,,delay of 1s on magnet signals,,,,,,1.41853881428e+18
28,30,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,07:33:34,Magnet quench,,,,,,,,,,,,,,A30R1,4945.0,3,71937.0,,,GHe propagation,,,iQPS,0.44710144927536233,0.1,,5,,,2329.0,2.0,01E,02C9,12114,-,,,,,,,,1.41853881428e+18
29,31,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,07:33:34,Magnet quench,,,,,,,,,,,,,,B30R1,3298.0,4,109619.0,,,GHe propagation,,,iQPS,0.1118421052631579,0.1,,5,,,2426.0,2.0,01B,02B5,10884,-,,,,,,,,1.41853881428e+18
30,32,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,07:33:34,Magnet quench,,,,,,,,,,,,,,C30R1,189.0,5,355265.0,,,GHe propagation,,,nQPS,,0.4,0.0181818181818181,6,,,2868.0,2.0,01B,02B5,12850,-,,,,,,,,1.41853881428e+18
31,33,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,13:40:53,Magnet quench,,,,,,,,,,,,,,A27R1,10363.0,1,-10.0,,,Training,EXT,3.0,iQPS,4.444444444444445,,,10,,,3380.0,3.0,01E,02D,11477,-1114,,,,,,,,1.41856085386e+18
32,34,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,13:40:53,Magnet quench,,,,,,,,,,,,,,B27R1,6835.0,2,42206.0,,,GHe propagation,,,iQPS,0.3225806451612903,0.1,,12,,,2402.0,2.0,01E,02C9,12229,-,,,,,,,,1.41856085386e+18
33,35,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,13:40:53,Magnet quench,,,,,,,,,,,,,,C27R1,4555.0,3,80669.0,,,GHe propagation,,,iQPS,1.5873015873015872,0.1,,5,,,2424.0,2.0,01B,02B5,11342,-,,,,,,,,1.41856085386e+18
34,36,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,13:40:53,Magnet quench,,,,,,,,,,,,,,C26R1,2776.0,4,126081.0,,,GHe propagation,,,iQPS,0.19230769230769232,0.1,,8,,,1376.0,1.0,01E,02B5,11754,-,,,,,,,,1.41856085386e+18
35,37,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,22:49:09,Magnet quench,,,,,,,,,,,,,,C31L2,10533.0,1,-9.0,,,Training,INT,4.0,iQPS,5,,,35,,,1413.0,1.0,01B,02C8,9932,601,,,,,,,,1.41859374992e+18
36,38,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,22:49:09,Magnet quench,,,,,,,,,,,,,,B31L2,7800.0,2,30849.0,,,GHe propagation,,,iQPS,1.0416666666666667,0.08,0.7999999999999999,6,,,2379.0,2.0,01E,02C9,11369,-,,,,,,,,1.41859374992e+18
37,39,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,22:49:09,Magnet quench,,,,,,,,,,,,,,A31L2,5949.0,3,56950.0,,,GHe propagation,,,iQPS,0.3125,0.15,0.5,10,,,1375.0,1.0,01E,02B5,12360,-,,,,,,,,1.41859374992e+18
38,40,RB.A12,RB,HWC Dec 2014,2014-12-14 00:00:00,22:49:09,Magnet quench,,,,,,,,,,,,,,C30L2,2628.0,4,132116.0,,,GHe propagation,,,iQPS,0.08695652173913043,0.09,0.09,8,,,2384.0,2.0,01E,02C9,11828,-,,,,,,,,1.41859374992e+18
39,41,RB.A12,RB,HWC Dec 2014,2014-12-15 00:00:00,07:54:44,Magnet quench,,,,,,,,,,,,,,B22R1,10755.0,1,-9.0,,,Training,INT,5.0,iQPS,5,,,20,,,1370.0,1.0,01E,02B5,10828,-73,,,,,,,,1.4186264841e+18
40,42,RB.A12,RB,HWC Dec 2014,2014-12-15 00:00:00,07:54:44,Magnet quench,,,,,,,,,,,,,,C22R1,10755.0,2,219.0,,,EM disturbance,,,iQPS,1.6666666666666667,,,28,,,1359.0,1.0,01E,02B8,12540,-,,Trip after 228 ms (before 1st EE switch),,,,,,1.4186264841e+18
41,43,RB.A12,RB,HWC Dec 2014,2014-12-15 00:00:00,07:54:44,Magnet quench,,,,,,,,,,,,,,A22R1,8334.0,3,26119.0,,,GHe propagation,,,iQPS,4.166666666666667,0.1,,9,,,2171.0,2.0,01B,02C0,10169,-,,,,,,,,1.4186264841e+18
42,44,RB.A12,RB,HWC Dec 2014,2014-12-15 00:00:00,07:54:44,Magnet quench,,,,,,,,,,,,,,A23R1,6030.0,4,57054.0,,,GHe propagation,,,iQPS,3.3333333333333335,0.1,,33,,,2360.0,2.0,01E,02C9,11331,-,,,,,,,,1.4186264841e+18
43,45,RB.A12,RB,HWC Dec 2014,2014-12-15 00:00:00,07:54:44,Magnet quench,,,,,,,,,,,,,,B23R1,3760.0,5,100295.0,,,GHe propagation,,,iQPS,0.125,0.1,,10,,,2414.0,2.0,01B,02C9,11176,-,,,,,,,,1.4186264841e+18
44,46,RB.A12,RB,HWC Dec 2014,2014-12-15 00:00:00,07:54:44,Magnet quench,,,,,,,,,,,,,,C23R1,1709.0,6,170212.0,,,GHe propagation,,,iQPS,0.09090909090909091,0.1,,27,,,2398.0,2.0,01E,02C9,10364,-,,,,,,,,1.4186264841e+18
45,47,RB.A12,RB,HWC Dec 2014,2014-12-15 00:00:00,07:54:44,Magnet quench,,,,,,,,,,,,,,C21R1,586.0,7,260939.0,,,GHe propagation,,,nQPS,,0.4,0.05,10,,,2389.0,2.0,01E,02C9,10264,-,,,,,,,,1.4186264841e+18
46,48,RB.A12,RB,HWC 2015,2015-01-17 00:00:00,22:56:53,Magnet quench,,,,,,,,,,,,,,B20L2,10832.0,1,-7.0,,,Training,INT,6.0,iQPS,5.882352941176471,,,24,,,3325.0,3.0,01E,02D,11325,-493,,,,,,,,1.42153181378e+18
47,49,RB.A12,RB,HWC 2015,2015-01-17 00:00:00,22:56:53,Magnet quench,,,,,,,,,,,,,,A20L2,10832.0,2,202.0,,,EM disturbance,,,nQPS,25,,,22,,,1362.0,1.0,01E,02B8,12057,-,,Trip after 209 ms (before 1st EE switch),,,,,,1.42153181378e+18
48,50,RB.A12,RB,HWC 2015,2015-01-17 00:00:00,22:56:53,Magnet quench,,,,,,,,,,,,,,C20L2,8662.0,3,22846.0,,,GHe propagation,,,iQPS,3.8461538461538463,,,8,,,2382.0,2.0,01E,02C9,11203,-,,,,,,,,1.42153181378e+18
49,51,RB.A12,RB,HWC 2015,2015-01-17 00:00:00,22:56:53,Magnet quench,,,,,,,,,,,,,,A21L2,1712.0,4,171254.0,,,GHe propagation,,,iQPS,0.08333333333333333,0.1,0.1,,,,2247.0,2.0,01E,02C0,11673,-,,,,,,,,1.42153181378e+18
50,52,RB.A12,RB,HWC 2015,2015-01-18 00:00:00,12:28:59,Magnet quench,,,,,,,,,,,,,,A19L2,10851.0,1,-10.0,,,Training,EXT,7.0,iQPS,5.555555555555556,,,8,,,3250.0,3.0,01B,02G,11220,-369,,,,,,,,1.42158053968e+18
51,53,RB.A12,RB,HWC 2015,2015-01-18 00:00:00,12:28:59,Magnet quench,,,,,,,,,,,,,,C19L2,10850.0,2,224.0,,,EM disturbance,,,nQPS,70,0.4,,15,,,1358.0,1.0,01E,02B8,11827,-,,Trip after 234 ms (before 1st EE switch),,,,,,1.42158053968e+18
52,54,RB.A12,RB,HWC 2015,2015-01-18 00:00:00,12:28:59,Magnet quench,,,,,,,,,,,,,,B19L2,10848.0,3,424.0,,,EM disturbance,,,iQPS,2.5,,,13,,,2362.0,2.0,01E,02C9,11807,-,,Trip after 434 ms (between 1st and 2nd EE switch),,,,,,1.42158053968e+18
53,55,RB.A12,RB,HWC 2015,2015-01-18 00:00:00,12:28:59,Magnet quench,,,,,,,,,,,,,,C18L2,10830.0,4,630.0,,,EM disturbance,,,iQPS,0.888888888888889,,,9,,,2325.0,2.0,01E,02C9,11581,-,,Trip after 640 ms (after 2nd switch opening). 30 ms between QPS brd A and B,,,,,,1.42158053968e+18
54,56,RB.A12,RB,HWC 2015,2015-01-18 00:00:00,12:28:59,Magnet quench,,,,,,,,,,,,,,B18L2,8990.0,5,19246.0,,,GHe propagation,,,iQPS,3.8461538461538467,,,22,,,2235.0,2.0,01E,02C0,10557,-,,,,,,,,1.42158053968e+18
55,57,RB.A12,RB,HWC 2015,2015-01-18 00:00:00,12:28:59,Magnet quench,,,,,,,,,,,,,,A18L2,7250.0,6,39756.0,,,GHe propagation,,,iQPS,1.6666666666666667,,,16,,,2396.0,2.0,01E,02C9,11723,-,,,,,,,,1.42158053968e+18
56,58,RB.A12,RB,HWC 2015,2015-01-18 00:00:00,12:28:59,Magnet quench,,,,,,,,,,,,,,C17L2,160.0,7,359965.0,,,GHe propagation,,,nQPS,,0.4,0.02,,,,3345.0,3.0,01E,02D,9633,-,,,,,,,,1.42158053968e+18
57,59,RB.A12,RB,Operation 2015,2015-11-03 00:00:00,07:25:49,Magnet quench,,,,,,46800.0,,,,,,,,A32L2,10978.9,1,-9.0,,,Training,EXT,1.0,iQPS,25,,,22,,,2400.0,2.0,01E,02C9,10968,10.899999999999636,,"very fast U_QS0 rise time, but likely training (definitely not beam induced)",,,,,,1.44653194986e+18
58,60,RB.A12,RB,Operation 2015,2015-11-03 00:00:00,07:25:49,Magnet quench,,,,,,,,,,,,,,B32L2,5830.0,2,63067.0,,,GHe propagation,,,iQPS,6.666666666666667,0.3,10.0,48,,,2406.0,2.0,01E,02C9,12073,-,,,,,,,,1.44653194986e+18
59,61,RB.A12,RB,Operation 2015,2015-11-03 00:00:00,07:25:49,Magnet quench,,,,,,,,,,,,,,C32L2,2690.0,3,134689.0,,,GHe propagation,,,iQPS,0.25,,,20,,,1369.0,1.0,01E,02B5,11605,-,,,,,,,,1.44653194986e+18
60,62,RB.A12,RB,Operation 2016,2016-06-10 00:00:00,19:13:05,Unknown,,,,,,,,,,,,,,A31L2,546.5969,1,-9.0,,,Unknown,,,iQPS,18,0.2,10.0,,,,1375.0,1.0,01E,02B5,12360,-,,https://issues.cern.ch/browse/TEMPECOMS-592,,,,,,1.46557878532e+18
61,63,RB.A12,RB,Operation 2016,2016-08-03 00:00:00,15:00:04,Unknown,,,,,,,,,,,,,,A31L2,295.0,1,-8.0,,,Unknown,,,iQPS,,,,,,,1375.0,1.0,01E,02B5,12360,-,,https://issues.cern.ch/browse/TEMPECOMS-602,,,,,,1.4702292049e+18
